Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
23654,Daniel Wilson,36,False,55946,0,15,3,2,No,Yes,Yes,3,Diploma,Support,Support Engineer,1.0522537299037804,6.7314578100458,0
23655,Nina Gupta,32,False,64187,0,9,1,0,No,No,Yes,5,Bachelor's,HR,HR Manager,4.874116096584667,2.6234309563670486,0
23656,Kiran Smith,41,True,30000,2,11,11,1,Yes,Yes,Yes,4,High School,Engineering,DevOps Engineer,2.289776853270869,1.8557055175091492,0
23657,Aisha Wilson,27,False,106340,0,0,13,3,No,No,Yes,4,Diploma,R&D,Scientist,8.062855693213239,1.9329363010879792,0
23658,Olivia Lewis,22,True,44243,3,0,3,1,No,Yes,No,3,High School,Support,Customer Specialist,7.890632230870363,4.366296520332577,0
23659,Nina Davis,48,True,88141,1,24,5,3,No,Yes,Yes,4,Master's,Engineering,ML Engineer,10.0,1.0,0
23660,Nina Davis,47,True,140591,3,13,4,2,No,Yes,No,2,High School,Support,Support Engineer,10.0,8.175694812839502,0
23661,Sarah Gupta,23,False,54400,1,2,2,2,Yes,No,Yes,4,Diploma,Operations,Operations Coordinator,7.377783432712196,3.28141355912505,0
23662,Emily Kumar,30,True,55299,0,1,7,3,No,Yes,Yes,2,Master's,Operations,Operations Coordinator,7.29630665857285,1.0,0
23663,Ananya Thompson,36,True,52974,2,0,14,1,No,Yes,Yes,4,Diploma,R&D,Researcher,10.0,3.8715826705315433,0
23664,Aisha Davis,45,False,48979,0,22,9,1,Yes,Yes,No,3,Diploma,Finance,Analyst,10.0,2.3718914468243213,0
23665,Priya Gupta,31,True,30000,1,10,0,3,No,Yes,Yes,4,High School,Support,Support Engineer,4.089162904518414,3.054583496926545,0
23666,Rohit Sharma,37,False,42854,3,12,5,0,No,Yes,No,3,High School,HR,HR Executive,4.800559626012604,1.0,0
23667,Karen Brown,28,True,95574,2,6,1,0,No,Yes,Yes,3,Bachelor's,R&D,Scientist,9.375856147608898,1.0,0
23668,Michael Williams,29,True,33987,0,2,10,0,No,Yes,Yes,2,Master's,Operations,Ops Manager,3.278690070862665,1.0,0
23669,Olivia Kumar,34,True,41104,3,0,4,2,No,Yes,Yes,5,Bachelor's,Sales,Sales Manager,3.586492989095822,5.391410684922585,1
23670,David Kumar,43,False,52719,0,13,10,0,No,No,Yes,3,Bachelor's,Finance,Analyst,1.9165763533723439,1.0,0
23671,Arun Thompson,49,True,31590,0,12,4,0,No,Yes,Yes,5,Bachelor's,HR,HR Manager,2.5243645683432536,4.215905288048697,0
23672,Priya Iyer,20,False,47248,2,0,2,0,No,Yes,Yes,2,Bachelor's,HR,HR Manager,3.242208331975059,2.4417451622244655,0
23673,Kiran Sharma,27,True,39874,0,0,5,0,Yes,Yes,No,2,High School,Support,Customer Specialist,2.706143029065946,1.9273310887117727,0
23674,Leo Lewis,42,False,30000,2,16,4,0,No,Yes,Yes,3,Diploma,Finance,Senior Analyst,1.3934314041783127,1.8344279448160918,0
23675,Ananya Lewis,65,False,55525,1,44,13,3,No,Yes,Yes,3,Diploma,Operations,Operations Coordinator,9.546458883554125,5.633607865914717,0
23676,Michael Singh,35,False,55373,0,1,1,1,No,Yes,No,4,Bachelor's,Engineering,Software Engineer,9.207760020051133,2.772726273343019,0
23677,Karen Taylor,31,False,30000,1,6,14,0,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,5.578427442522018,2.7319931199103884,0
23678,Sarah Anderson,50,True,71978,3,8,3,1,No,Yes,Yes,3,High School,R&D,Scientist,8.36792193694074,10.0,0
23679,Kiran Brown,50,True,56959,1,24,7,1,Yes,Yes,Yes,2,Master's,Sales,Sales Manager,6.105892765382698,2.0445001486177667,0
23680,Linda Singh,46,True,47925,2,25,13,3,No,No,Yes,4,Bachelor's,Operations,Ops Manager,2.7869879761491365,10.0,0
23681,Sarah Singh,31,True,54424,2,0,14,2,No,Yes,Yes,2,High School,Support,Support Engineer,8.217896882162316,4.765389466163673,0
23682,John Iyer,26,False,30000,3,2,7,0,No,Yes,Yes,4,Master's,R&D,Researcher,2.234441246285164,3.8894915225845508,0
23683,Sophia Smith,33,True,40191,0,9,9,3,Yes,No,Yes,4,Bachelor's,HR,HR Executive,10.0,2.810387416962949,0
23684,Michael Patel,53,False,75556,3,30,0,1,No,Yes,Yes,4,Master's,Support,Support Engineer,1.464658066808168,1.0,0
23685,Karen Iyer,40,True,41175,1,9,11,3,Yes,Yes,Yes,5,Bachelor's,Engineering,Software Engineer,4.498534172835079,4.143650021991662,0
23686,Emily Williams,42,True,124808,3,17,11,3,No,Yes,Yes,4,Diploma,R&D,Researcher,9.681026567190223,3.9160536155912364,0
23687,Kiran Smith,28,False,81889,3,0,13,1,No,Yes,Yes,4,Master's,Finance,Senior Analyst,10.0,7.731746869639091,0
23688,Michael Johnson,37,False,59615,1,9,6,0,No,No,Yes,3,High School,Support,Support Engineer,7.693309975353788,5.71190229731105,0
23689,Ananya Kumar,35,False,36401,3,0,9,0,No,No,Yes,1,Bachelor's,Finance,Senior Analyst,9.260757373434123,10.0,0
23690,Aisha Wilson,42,True,30000,3,16,13,1,No,Yes,No,5,Diploma,Finance,Senior Analyst,4.69165267575974,3.133710935186656,0
23691,John Patel,29,False,74846,0,0,5,1,No,Yes,Yes,4,Master's,R&D,Scientist,10.0,6.447837589085173,0
23692,Michael Patel,39,True,39614,3,16,7,0,No,No,Yes,3,Bachelor's,Operations,Ops Manager,1.9408158887811702,1.5558596037632748,0
23693,Aisha Davis,41,True,87105,1,15,12,3,No,No,No,4,Master's,Sales,Sales Manager,6.954377257779534,7.055394837780551,0
23694,Aisha Williams,26,True,64496,0,0,9,0,No,Yes,No,2,Bachelor's,Support,Support Engineer,10.0,1.3773552114152778,0
23695,Olivia Smith,22,True,49862,3,0,4,0,No,Yes,Yes,3,High School,Support,Customer Specialist,6.068635285066408,3.566221974859709,0
23696,Emily Gupta,27,True,30000,2,0,12,0,No,Yes,No,3,Bachelor's,Support,Support Engineer,6.8430727265755245,3.0593790847498803,0
23697,Luke Davis,50,False,30000,1,25,12,2,No,Yes,No,3,Master's,HR,HR Manager,1.0,2.838505584295577,0
23698,Sarah Kumar,22,False,71998,1,0,3,1,Yes,Yes,Yes,1,Bachelor's,Support,Support Engineer,8.484467089251401,2.9803153307879784,0
23699,Olivia Taylor,41,True,30000,0,19,7,0,No,No,Yes,4,Bachelor's,HR,HR Executive,2.6298272230659068,7.725718224044883,0
23700,Arun Miller,32,True,100312,1,7,13,1,No,No,Yes,3,Bachelor's,Operations,Operations Coordinator,10.0,2.9309539654334253,0
23701,Luke Smith,42,False,86011,1,16,14,1,No,Yes,Yes,3,Bachelor's,R&D,Researcher,9.712925911782087,3.6241925085997257,0
23702,Vikram Walker,61,False,67381,0,37,5,2,No,Yes,No,3,Bachelor's,Support,Support Engineer,3.771800217703123,7.5714785084206655,0
23703,Sarah Davis,50,True,147744,0,22,11,2,No,Yes,Yes,4,Bachelor's,Operations,Ops Manager,7.447620092891267,6.042728118686445,0
23704,Vikram Smith,28,True,52393,3,6,11,0,Yes,No,No,3,High School,Finance,Analyst,10.0,6.242903763867611,0
23705,Olivia Williams,35,True,30000,1,4,1,1,No,Yes,No,1,Diploma,Finance,Senior Analyst,6.942743093714261,4.405883115786372,0
23706,Michael Gupta,43,True,60570,1,17,12,2,No,No,Yes,4,Master's,Operations,Ops Manager,8.807473777716659,1.0,0
23707,Luke Thomas,43,True,76130,1,3,5,1,No,Yes,Yes,2,Bachelor's,Engineering,ML Engineer,10.0,4.06924256339791,0
23708,Vikram Wilson,42,True,39108,0,18,1,3,No,Yes,Yes,1,Bachelor's,Operations,Ops Manager,7.079994811032642,4.295455310033578,0
23709,Karen Kumar,38,True,34690,0,11,6,2,No,Yes,Yes,1,Master's,HR,HR Manager,2.5183380722733784,3.825004166785275,0
23710,Aisha Johnson,47,True,99828,0,25,2,0,No,No,No,5,Bachelor's,Engineering,DevOps Engineer,8.707996359418484,4.523620507530948,0
23711,Luke Anderson,36,False,44490,2,11,7,2,No,Yes,Yes,4,Diploma,Support,Customer Specialist,5.542554661855522,7.272607862049954,0
23712,Vikram Johnson,41,True,77416,0,19,4,0,No,Yes,Yes,3,PhD,HR,HR Manager,5.972148701471063,4.301004561644436,0
23713,Daniel Iyer,34,False,60998,2,0,7,0,Yes,Yes,Yes,3,Master's,Finance,Analyst,6.9114848804238935,3.648508422825309,0
23714,Luke Lewis,24,False,30000,0,0,12,2,No,Yes,Yes,3,Diploma,Support,Customer Specialist,2.2631034217566564,2.6431324941423657,0
23715,David Iyer,28,False,54862,2,4,6,1,No,No,Yes,5,Master's,R&D,Researcher,10.0,5.449686601995629,0
23716,Linda Kumar,31,True,106201,3,0,9,0,No,Yes,Yes,3,Diploma,R&D,Researcher,8.60466383095754,1.0,0
23717,Ananya Taylor,30,False,38278,1,8,4,1,No,Yes,Yes,5,Bachelor's,HR,HR Executive,6.436757578794251,4.371929817212237,0
23718,Kiran Brown,32,True,52589,1,9,6,0,No,Yes,Yes,2,Bachelor's,Operations,Operations Coordinator,8.321843537142854,3.554746746240572,0
23719,Olivia Sharma,22,False,80941,3,0,8,1,No,No,No,3,Bachelor's,Sales,Sales Manager,10.0,1.0351748218444818,0
23720,David Thomas,39,True,78448,0,15,3,0,No,Yes,Yes,5,Master's,Support,Support Engineer,9.287278874463418,3.7284540716736023,0
23721,Linda Williams,21,True,87859,1,0,12,3,No,Yes,Yes,4,Bachelor's,R&D,Scientist,10.0,4.396119550317571,0
23722,Priya Iyer,41,False,30000,0,1,14,2,No,Yes,Yes,3,High School,HR,HR Executive,1.0279317271077062,1.104041348248653,0
23723,Nina Singh,37,False,65969,0,6,5,0,No,No,Yes,3,Bachelor's,Engineering,Software Engineer,6.411712583248853,2.6125183406020547,0
23724,Daniel Thompson,35,True,89423,0,0,6,3,No,Yes,Yes,4,High School,Operations,Ops Manager,3.977560811381946,6.321415350464206,0
23725,Olivia Anderson,34,False,63936,2,6,8,3,No,Yes,Yes,3,High School,R&D,Scientist,8.326829431033719,2.327061341574345,0
23726,David Davis,32,True,38271,2,0,3,0,No,Yes,Yes,3,Bachelor's,Finance,Analyst,8.857183865281971,4.194316634322016,0
23727,Olivia Gupta,42,False,50140,3,13,6,3,No,Yes,Yes,5,Master's,HR,HR Manager,4.5844929781686155,1.0,0
23728,Luke Walker,46,True,49441,1,5,4,3,No,Yes,No,3,Diploma,Engineering,Software Engineer,10.0,4.265500706795864,0
23729,Linda Miller,34,False,100155,3,11,4,3,No,No,Yes,2,Diploma,Support,Support Engineer,9.344399091845279,7.644408193939293,0
23730,Kiran Thompson,19,False,43937,0,0,10,2,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,2.196186378500924,10.0,0
23731,Daniel Singh,29,True,41580,0,8,11,3,No,Yes,Yes,4,High School,HR,HR Executive,5.187220767602785,3.6300372158699092,0
23732,Rohit Davis,24,False,112138,3,0,11,3,No,Yes,Yes,2,High School,Sales,Sales Manager,10.0,1.0,0
23733,Michael Singh,40,True,43024,3,12,11,1,Yes,No,Yes,3,Bachelor's,Support,Customer Specialist,5.877069240037687,10.0,0
23734,Kiran Singh,36,False,44503,0,8,9,3,No,Yes,Yes,5,Bachelor's,Operations,Operations Coordinator,2.0166796064318646,2.5205378583410125,0
23735,John Patel,28,False,94061,1,0,11,1,No,Yes,Yes,2,High School,HR,HR Manager,10.0,2.8661416043706858,0
23736,Kiran Gupta,35,True,46773,1,9,4,3,Yes,Yes,No,3,Master's,Engineering,Software Engineer,7.594588893251364,7.679863963127952,0
23737,Aisha Brown,35,False,30000,0,9,5,3,Yes,Yes,Yes,3,Bachelor's,R&D,Researcher,1.0,2.282421251769362,0
23738,Sarah Taylor,45,True,34723,3,17,4,3,Yes,Yes,Yes,3,Master's,Operations,Operations Coordinator,9.14188708854303,2.4759071348892094,0
23739,Karen Patel,31,True,63954,0,4,2,0,No,Yes,Yes,2,Bachelor's,Finance,Senior Analyst,10.0,10.0,0
23740,Daniel Iyer,39,False,104201,1,0,8,2,Yes,Yes,Yes,2,Master's,HR,HR Manager,8.836710898695369,1.5903426584646612,0
23741,Linda Sharma,41,True,88882,3,15,14,2,No,Yes,Yes,5,Bachelor's,Operations,Operations Coordinator,7.9618766675327,10.0,0
23742,Vikram Singh,46,True,50652,1,13,11,3,No,Yes,Yes,5,Bachelor's,Sales,Account Executive,9.023550730211241,6.81507076536018,0
23743,Emily Kumar,19,False,72072,2,0,9,0,No,Yes,Yes,5,Master's,HR,HR Manager,2.1873154633153495,1.052900814825918,0
23744,Daniel Thompson,23,True,30000,0,0,1,1,No,Yes,Yes,4,Master's,Sales,Sales Manager,2.2323932695399558,7.942111634043959,0
23745,Karen Thompson,27,False,81154,0,0,6,1,No,Yes,Yes,3,High School,Engineering,ML Engineer,7.272449463529258,1.0,0
23746,Daniel Thomas,29,True,73850,0,6,4,0,No,Yes,No,4,Diploma,HR,HR Executive,9.616470141865973,1.0,0
23747,Sophia Wilson,29,True,30000,2,8,14,3,No,Yes,Yes,5,Bachelor's,HR,HR Manager,6.711348438829177,4.671918273798747,0
23748,Aisha Johnson,37,False,51931,0,13,13,1,No,Yes,Yes,4,Bachelor's,Engineering,ML Engineer,7.469788180461767,3.7785753564930182,0
23749,Nina Kumar,36,True,46351,3,4,3,0,No,Yes,No,5,Bachelor's,Finance,Senior Analyst,2.481774370413426,9.11109689058929,0
23750,Daniel Kumar,41,True,39975,1,0,5,2,No,No,Yes,1,High School,HR,HR Manager,5.019153857577622,1.0,0
23751,Olivia Miller,28,True,36151,0,0,12,2,No,No,Yes,4,Bachelor's,Sales,Sales Manager,7.587543874214269,4.079661940084071,0
23752,Sarah Sharma,20,True,40860,1,0,4,1,No,Yes,No,2,Master's,Support,Customer Specialist,5.404926756519685,1.0,0
23753,Daniel Kumar,51,True,30000,2,17,1,2,No,Yes,No,4,Diploma,R&D,Researcher,3.2077710657682266,1.8705916865295613,0
23754,Karen Thomas,27,False,49741,1,0,13,0,No,Yes,No,3,Diploma,Support,Support Engineer,4.498593444502752,4.3490366500321755,0
23755,Ananya Taylor,58,True,118428,0,26,11,0,Yes,Yes,No,4,High School,HR,HR Executive,10.0,1.0,0
23756,Ananya Sharma,35,True,42956,1,12,9,0,No,No,Yes,3,Diploma,R&D,Scientist,9.018537439199877,1.5808348926593423,0
23757,Aisha Sharma,35,True,30000,3,5,14,0,No,Yes,Yes,3,Bachelor's,Engineering,Software Engineer,7.469027825431756,7.390975177653813,0
23758,Ananya Sharma,41,True,98054,1,0,2,2,Yes,Yes,Yes,5,High School,Sales,Sales Manager,10.0,1.9032173505466838,0
23759,Arun Anderson,39,True,30000,3,9,13,1,Yes,Yes,Yes,1,Master's,HR,HR Executive,1.788818615486579,2.4075233708158503,0
23760,Vikram Patel,18,True,49507,2,0,11,0,No,Yes,Yes,3,Diploma,Finance,Analyst,1.766338851330005,3.657818907858844,0
23761,Leo Taylor,25,False,30000,1,4,13,3,No,Yes,Yes,5,Master's,R&D,Researcher,5.9684242625633,2.8858558568518897,0
23762,Emily Gupta,31,False,44157,1,0,9,0,No,No,Yes,4,High School,HR,HR Manager,10.0,4.668936279334665,0
23763,Priya Anderson,45,True,96459,1,7,9,1,Yes,Yes,Yes,5,Bachelor's,Support,Support Engineer,10.0,3.0228754768271573,0
23764,Leo Thompson,23,True,30000,0,0,8,2,Yes,No,Yes,4,Bachelor's,Engineering,DevOps Engineer,2.826717295681801,1.0,0
23765,Aisha Lewis,24,True,83504,3,1,6,3,No,No,No,4,Master's,Sales,Sales Manager,10.0,7.7899584303886265,0
23766,Sarah Patel,49,False,30000,2,11,13,2,No,Yes,No,4,Diploma,Operations,Operations Coordinator,4.835527535537821,8.04457953993303,0
23767,John Iyer,33,False,30000,2,7,4,0,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,2.705115992153665,4.447404817863968,0
23768,Arun Singh,44,True,69101,2,4,14,2,No,Yes,Yes,3,Diploma,Support,Customer Specialist,7.533148156909089,10.0,1
23769,Sophia Davis,34,True,30230,3,7,1,1,Yes,Yes,Yes,3,Diploma,R&D,Scientist,8.482423733295798,3.627619715343605,0
23770,Michael Miller,37,True,88507,1,0,6,0,Yes,Yes,Yes,3,Diploma,Operations,Operations Coordinator,3.47131733605905,5.240123972321252,0
23771,Rohit Iyer,45,False,36549,1,10,4,3,Yes,Yes,No,1,High School,Operations,Ops Manager,2.439417442173829,1.22001855149602,0
23772,Sarah Singh,51,True,42045,0,6,8,0,Yes,Yes,Yes,4,Bachelor's,Sales,Account Executive,6.368827160623619,3.5720546978302483,0
23773,Vikram Brown,53,False,30000,2,32,7,3,No,Yes,Yes,4,Bachelor's,Support,Support Engineer,2.1236771231646667,9.302060727279466,0
23774,Emily Sharma,26,False,58430,1,0,1,1,No,No,Yes,2,Bachelor's,Support,Support Engineer,7.170890600707502,4.708414842260083,0
23775,Daniel Kumar,33,False,38829,0,6,4,0,Yes,Yes,Yes,5,Bachelor's,R&D,Scientist,3.398678615840133,6.360682402644498,0
23776,Sarah Lewis,49,False,108257,0,22,9,0,No,No,Yes,4,Bachelor's,Operations,Ops Manager,8.043410373604157,8.12590689801069,0
23777,Daniel Gupta,36,True,30000,1,13,7,2,No,Yes,Yes,1,PhD,R&D,Scientist,6.685733637085598,7.639149574900754,0
23778,Michael Johnson,47,True,50698,3,13,14,1,Yes,Yes,Yes,3,Bachelor's,Operations,Ops Manager,6.412705462214975,1.6206634972220622,0
23779,Arun Williams,24,True,88717,1,0,3,2,No,Yes,Yes,5,Master's,Support,Customer Specialist,5.919332297397984,4.351830568899319,0
23780,Michael Patel,35,True,30000,3,10,0,0,No,Yes,Yes,3,Diploma,Support,Support Engineer,9.697081527626027,2.3153190799856453,0
23781,Michael Gupta,34,True,50966,2,0,8,1,No,Yes,Yes,4,Diploma,Support,Customer Specialist,10.0,4.131775566491756,0
23782,Nina Lewis,36,True,108947,0,3,12,3,No,No,No,3,Diploma,HR,HR Manager,10.0,5.718114926407274,0
23783,Linda Kumar,62,False,52860,0,22,4,2,No,Yes,No,1,Bachelor's,Support,Customer Specialist,8.469911702901758,1.0,0
23784,Kiran Thomas,24,True,70546,3,3,2,1,No,Yes,Yes,3,High School,Sales,Account Executive,7.142098186010597,4.049853038737447,0
23785,Sophia Thomas,28,False,30000,1,0,9,3,No,Yes,Yes,5,High School,Engineering,Software Engineer,4.97240155847172,10.0,0
23786,Leo Kumar,49,True,49186,1,23,13,0,Yes,Yes,Yes,3,Diploma,Sales,Account Executive,4.9408171406216015,3.2490616835088417,0
23787,David Gupta,42,True,84006,0,18,9,0,No,Yes,Yes,3,Bachelor's,Finance,Analyst,4.139976737169866,2.665375458469666,0
23788,Olivia Sharma,37,False,30000,0,10,12,2,No,Yes,No,5,Master's,Finance,Senior Analyst,6.010989275554795,1.0,0
23789,Linda Williams,18,False,42660,2,0,4,1,No,Yes,Yes,3,Bachelor's,R&D,Researcher,10.0,2.6365055540286546,0
23790,Karen Lewis,28,True,70862,0,0,10,1,Yes,Yes,Yes,5,Master's,Sales,Account Executive,4.10167090959979,3.198865874900121,0
23791,Aisha Patel,40,False,30000,0,12,6,2,Yes,No,Yes,4,Diploma,Finance,Senior Analyst,1.0,6.4660831634223035,0
23792,John Smith,36,False,58033,1,11,10,3,No,Yes,Yes,4,Diploma,Sales,Sales Manager,3.1997541206885405,2.546372783761115,0
23793,John Miller,48,False,75214,3,27,0,0,Yes,Yes,No,3,Bachelor's,Engineering,ML Engineer,4.505314754101272,3.862853946819324,0
23794,Leo Davis,52,True,71028,0,31,13,1,No,No,Yes,4,Bachelor's,R&D,Scientist,2.5075567978758846,2.2492786432186476,0
23795,John Singh,27,False,60310,0,4,10,2,Yes,Yes,Yes,2,Master's,R&D,Scientist,10.0,6.896445789251654,0
23796,Priya Iyer,39,True,44447,0,7,11,0,No,Yes,No,5,Bachelor's,Engineering,ML Engineer,10.0,3.5763250592561775,0
23797,Nina Smith,49,False,66987,1,24,10,2,No,Yes,Yes,4,Bachelor's,Operations,Ops Manager,3.6852171519222012,2.7697339500553113,0
23798,Leo Walker,41,True,57241,1,11,1,0,No,Yes,Yes,5,Bachelor's,Operations,Operations Coordinator,8.607509431102937,3.3714916774407584,0
23799,Leo Iyer,51,False,74194,3,27,2,2,No,Yes,Yes,3,Bachelor's,Support,Support Engineer,8.918806769403128,5.770901267821179,0
23800,Sarah Patel,30,True,68152,1,0,11,2,No,Yes,Yes,3,Diploma,Support,Support Engineer,3.072904017170581,9.231735987296059,0
23801,Karen Patel,26,False,30000,1,0,0,1,No,No,No,3,Master's,Finance,Senior Analyst,1.7338319693783628,10.0,0
23802,Sarah Wilson,41,True,30000,3,17,13,2,No,Yes,Yes,3,Master's,Finance,Senior Analyst,10.0,3.7837970892820576,0
23803,Priya Iyer,39,False,30000,3,13,1,1,No,Yes,No,3,Master's,Operations,Operations Coordinator,2.391868537447621,3.448337651328129,0
23804,Michael Patel,31,True,36385,0,6,4,0,No,Yes,Yes,5,Master's,HR,HR Executive,5.969019812679085,9.994918093298068,0
23805,Rohit Lewis,43,True,80064,0,19,1,2,Yes,Yes,Yes,1,Bachelor's,Sales,Account Executive,9.437265010445554,2.137681848925588,0
23806,Linda Anderson,40,True,66393,2,6,3,1,Yes,Yes,Yes,4,Bachelor's,R&D,Scientist,2.8918175360840417,6.481028643076128,0
23807,Karen Johnson,41,True,69783,0,14,13,3,Yes,Yes,Yes,3,Bachelor's,Operations,Ops Manager,10.0,7.268332573486948,0
23808,Sarah Patel,44,False,30000,0,23,10,0,No,Yes,Yes,4,PhD,HR,HR Executive,7.515661339641202,1.3762076501633005,0
23809,Priya Iyer,40,True,49634,0,6,7,0,No,Yes,Yes,1,Master's,Engineering,Software Engineer,5.444240825037252,8.579320399421857,0
23810,Daniel Williams,31,True,90881,1,9,10,2,No,Yes,Yes,2,Diploma,Operations,Ops Manager,5.595781842822797,2.6466389654982327,0
23811,Sophia Taylor,26,True,58043,0,0,3,3,No,Yes,Yes,3,Master's,Sales,Sales Manager,4.434504401345231,3.5025023988926476,0
23812,John Sharma,49,False,37936,2,19,10,0,Yes,No,Yes,2,Master's,Support,Customer Specialist,2.2044529955248207,4.618329632927008,0
23813,Aisha Sharma,41,True,104624,0,17,4,1,Yes,Yes,Yes,3,Diploma,HR,HR Manager,10.0,6.331174457772592,0
23814,Rohit Smith,55,False,41875,3,34,0,3,Yes,Yes,Yes,4,Diploma,Sales,Sales Manager,9.771560992148174,2.8718819134437563,0
23815,Sophia Thompson,41,True,51922,1,9,1,3,No,No,Yes,3,Master's,Finance,Analyst,8.045981220145116,1.6833527930624888,0
23816,Olivia Thompson,43,False,125314,3,19,5,3,No,Yes,No,5,High School,R&D,Scientist,10.0,6.6096829595451725,0
23817,Leo Thomas,36,False,30000,1,5,8,1,No,Yes,Yes,2,Bachelor's,Sales,Sales Manager,7.32702236476446,2.2403322403679904,0
23818,Ananya Smith,45,False,38202,1,23,6,0,No,Yes,Yes,3,Diploma,Sales,Sales Manager,3.528880617442635,4.537098766137003,0
23819,Sophia Singh,45,False,30000,2,18,7,3,No,Yes,Yes,3,Bachelor's,Finance,Analyst,9.006416276847109,3.5217277778737817,0
23820,Rohit Thomas,44,False,70284,1,12,0,0,No,Yes,No,1,Bachelor's,R&D,Researcher,5.531492609263434,2.196792212743393,0
23821,Priya Smith,23,False,30000,1,0,1,3,Yes,Yes,Yes,3,Diploma,Operations,Operations Coordinator,5.5723329419686305,1.0,0
23822,Emily Johnson,26,True,50179,3,0,7,0,No,Yes,Yes,4,Bachelor's,HR,HR Manager,9.823306296052657,10.0,0
23823,Leo Miller,37,True,30000,0,13,8,0,No,No,Yes,2,Bachelor's,Operations,Operations Coordinator,5.987343629224462,10.0,0
23824,Karen Iyer,31,True,60397,1,10,0,0,No,Yes,Yes,4,Bachelor's,Engineering,DevOps Engineer,6.785509725119444,4.042187186080894,0
23825,Sarah Taylor,29,True,50567,1,0,7,0,Yes,Yes,Yes,3,Bachelor's,Finance,Analyst,10.0,6.897983268405298,0
23826,Sarah Thompson,28,True,39965,0,0,0,1,Yes,No,Yes,4,High School,Engineering,ML Engineer,1.9059336428617577,1.0,0
23827,Sophia Gupta,51,False,53404,0,24,2,2,Yes,Yes,No,4,Bachelor's,Support,Customer Specialist,7.669454955822562,5.298678767409734,0
23828,Daniel Kumar,24,False,68199,0,1,8,0,No,Yes,Yes,4,Bachelor's,Support,Support Engineer,4.902385597914218,6.705314746359805,0
23829,Linda Brown,31,True,55334,3,3,0,0,Yes,No,No,2,High School,Support,Customer Specialist,9.657440464961274,6.722595673009187,0
23830,Aisha Brown,27,False,50878,0,3,2,3,Yes,Yes,No,3,Bachelor's,R&D,Researcher,1.5387040578411728,4.271787508256736,0
23831,Aisha Williams,55,True,62509,0,32,11,1,Yes,Yes,Yes,5,High School,Finance,Senior Analyst,7.7290751088611716,7.7421996503373345,0
23832,John Singh,41,False,30000,0,13,7,2,No,Yes,Yes,4,Diploma,HR,HR Executive,1.0,2.881993209756878,0
23833,Luke Davis,46,True,31217,0,19,10,2,No,Yes,Yes,2,Master's,Sales,Account Executive,10.0,7.060637910293449,0
23834,Olivia Anderson,35,True,66643,1,13,13,0,Yes,Yes,Yes,4,PhD,HR,HR Executive,4.234262377813547,3.546868739759575,0
23835,Aisha Miller,48,True,30000,2,18,11,3,Yes,No,Yes,3,Bachelor's,HR,HR Executive,10.0,3.4297843860493344,0
23836,Daniel Johnson,29,True,75840,2,7,3,1,Yes,Yes,Yes,4,Master's,HR,HR Executive,8.78107469888948,3.6735340702834964,0
23837,Emily Wilson,27,True,87203,0,5,13,1,No,Yes,No,2,Bachelor's,Operations,Ops Manager,7.153257510382302,7.998756250485062,0
23838,Olivia Sharma,25,True,107679,0,0,1,2,No,Yes,Yes,3,High School,Sales,Account Executive,6.112383032493167,2.6533520101289847,0
23839,Aisha Anderson,38,True,62666,1,12,11,2,No,No,Yes,2,Master's,Engineering,ML Engineer,6.206208119763699,10.0,0
23840,Karen Taylor,34,False,40935,1,0,14,3,No,Yes,No,4,Bachelor's,R&D,Researcher,3.3976690431334884,3.5087022492174507,0
23841,Nina Johnson,18,False,32235,2,0,13,1,No,Yes,Yes,3,Bachelor's,Operations,Operations Coordinator,6.625614101436066,1.0,0
23842,John Thomas,35,False,30000,2,13,12,2,No,Yes,No,3,Bachelor's,R&D,Researcher,4.191388517588967,1.7647726673451958,0
23843,Michael Williams,39,True,96242,2,7,12,2,No,Yes,No,4,Bachelor's,Support,Customer Specialist,5.197681783321034,4.102288785443054,0
23844,Ananya Anderson,18,False,30000,2,0,1,2,No,Yes,Yes,2,Diploma,R&D,Researcher,4.201410494922635,9.777115692369772,0
23845,Michael Walker,32,True,30000,1,4,5,3,No,Yes,Yes,4,Master's,R&D,Scientist,1.0,7.187520970718904,0
23846,Ananya Walker,44,False,30000,2,21,2,0,No,Yes,Yes,5,Diploma,Sales,Account Executive,2.3345833685366593,2.1990997656673734,0
23847,Sarah Brown,53,True,75572,1,32,3,1,No,No,Yes,4,Bachelor's,Finance,Senior Analyst,2.569070347397492,5.054697908301083,0
23848,John Brown,52,False,57530,1,27,2,0,No,Yes,No,4,Bachelor's,Engineering,DevOps Engineer,8.24956139223805,9.838526886430627,0
23849,Rohit Iyer,32,True,64258,1,0,2,2,No,Yes,Yes,2,Master's,Support,Customer Specialist,9.524030103740078,2.439122191071496,0
23850,David Walker,47,False,72339,1,23,10,2,No,Yes,Yes,3,Master's,Support,Support Engineer,6.5253061649548325,9.23243246464245,0
